SampleID	Group	Site	LB
G100a	G100	Guizhou	D
G100b	G100	Guizhou	D
G100c	G100	Guizhou	D
G100d	G100	Guizhou	D
G100e	G100	Guizhou	D
G101a	G101	Guizhou	D
G101b	G101	Guizhou	D
G101c	G101	Guizhou	D
G101d	G101	Guizhou	D
G101e	G101	Guizhou	D
G104a	G104	Yunnan	D
G104b	G104	Yunnan	D
G104c	G104	Yunnan	D
G104d	G104	Yunnan	D
G104e	G104	Yunnan	D
G105a	G105	Yunnan	D
G105b	G105	Yunnan	D
G105c	G105	Yunnan	D
G105d	G105	Yunnan	D
G105e	G105	Yunnan	D
G106a	G106	Yunnan	D
G106b	G106	Yunnan	D
G106c	G106	Yunnan	D
G106d	G106	Yunnan	D
G106e	G106	Yunnan	D
G107a	G107	Yunnan	D
G107b	G107	Yunnan	D
G107c	G107	Yunnan	D
G107d	G107	Yunnan	D
G107e	G107	Yunnan	D
G108a	G108	Yunnan	D
G108b	G108	Yunnan	D
G108c	G108	Yunnan	D
G108d	G108	Yunnan	D
G108e	G108	Yunnan	D
G10a	G10	Yunnan	U
G10b	G10	Yunnan	U
G10c	G10	Yunnan	U
G10d	G10	Yunnan	U
G10e	G10	Yunnan	U
G110a	G110	Yunnan	D
G110b	G110	Yunnan	D
G110c	G110	Yunnan	D
G110d	G110	Yunnan	D
G110e	G110	Yunnan	D
G111a	G111	Yunnan	D
G111b	G111	Yunnan	D
G111c	G111	Yunnan	D
G111d	G111	Yunnan	D
G111e	G111	Yunnan	D
G112a	G112	Yunnan	D
G112b	G112	Yunnan	D
G112c	G112	Yunnan	D
G112d	G112	Yunnan	D
G112e	G112	Yunnan	D
G113a	G113	Yunnan	D
G113b	G113	Yunnan	D
G113c	G113	Yunnan	D
G113d	G113	Yunnan	D
G113e	G113	Yunnan	D
G114a	G114	Yunnan	D
G114b	G114	Yunnan	D
G114c	G114	Yunnan	D
G114d	G114	Yunnan	D
G114e	G114	Yunnan	D
G115a	G115	Yunnan	D
G115b	G115	Yunnan	D
G115c	G115	Yunnan	D
G115d	G115	Yunnan	D
G115e	G115	Yunnan	D
G116a	G116	Yunnan	D
G116b	G116	Yunnan	D
G116c	G116	Yunnan	D
G116d	G116	Yunnan	D
G116e	G116	Yunnan	D
G117a	G117	Yunnan	U
G117b	G117	Yunnan	U
G117c	G117	Yunnan	U
G117d	G117	Yunnan	U
G117e	G117	Yunnan	U
G118a	G118	Yunnan	U
G118b	G118	Yunnan	U
G118c	G118	Yunnan	U
G118d	G118	Yunnan	U
G118e	G118	Yunnan	U
G119a	G119	Yunnan	D
G119b	G119	Yunnan	D
G119c	G119	Yunnan	D
G119d	G119	Yunnan	D
G119e	G119	Yunnan	D
G11a	G11	Yunnan	U
G11b	G11	Yunnan	U
G11c	G11	Yunnan	U
G11d	G11	Yunnan	U
G11e	G11	Yunnan	U
G120a	G120	Yunnan	D
G120b	G120	Yunnan	D
G120c	G120	Yunnan	D
G120d	G120	Yunnan	D
G120e	G120	Yunnan	D
G122a	G122	Yunnan	D
G122b	G122	Yunnan	D
G122c	G122	Yunnan	D
G122d	G122	Yunnan	D
G122e	G122	Yunnan	D
G123a	G123	Yunnan	D
G123b	G123	Yunnan	D
G123c	G123	Yunnan	D
G123d	G123	Yunnan	D
G123e	G123	Yunnan	D
G125a	G125	Yunnan	D
G125b	G125	Yunnan	D
G125c	G125	Yunnan	D
G125d	G125	Yunnan	D
G125e	G125	Yunnan	D
G12a	G12	Yunnan	U
G12b	G12	Yunnan	U
G12c	G12	Yunnan	U
G12d	G12	Yunnan	U
G12e	G12	Yunnan	U
G13a	G13	Yunnan	U
G13b	G13	Yunnan	U
G13c	G13	Yunnan	U
G13d	G13	Yunnan	U
G13e	G13	Yunnan	U
G14a	G14	Yunnan	U
G14b	G14	Yunnan	U
G14c	G14	Yunnan	U
G14d	G14	Yunnan	U
G14e	G14	Yunnan	U
G15a	G15	Yunnan	U
G15b	G15	Yunnan	U
G15c	G15	Yunnan	U
G15d	G15	Yunnan	U
G15e	G15	Yunnan	U
G16a	G16	Yunnan	U
G16b	G16	Yunnan	U
G16c	G16	Yunnan	U
G16d	G16	Yunnan	U
G16e	G16	Yunnan	U
G17a	G17	Yunnan	U
G17b	G17	Yunnan	U
G17c	G17	Yunnan	U
G17d	G17	Yunnan	U
G17e	G17	Yunnan	U
G18a	G18	Yunnan	U
G18b	G18	Yunnan	U
G18c	G18	Yunnan	U
G18d	G18	Yunnan	U
G18e	G18	Yunnan	U
G19a	G19	Yunnan	U
G19b	G19	Yunnan	U
G19c	G19	Yunnan	U
G19d	G19	Yunnan	U
G19e	G19	Yunnan	U
G1a	G1	Yunnan	U
G1b	G1	Yunnan	U
G1c	G1	Yunnan	U
G1d	G1	Yunnan	U
G1e	G1	Yunnan	U
G20a	G20	Yunnan	U
G20b	G20	Yunnan	U
G20c	G20	Yunnan	U
G20d	G20	Yunnan	U
G20e	G20	Yunnan	U
G21a	G21	Sichuan	U
G21b	G21	Sichuan	U
G21c	G21	Sichuan	U
G21d	G21	Sichuan	U
G21e	G21	Sichuan	U
G22a	G22	Sichuan	D
G22b	G22	Sichuan	D
G22c	G22	Sichuan	D
G22d	G22	Sichuan	D
G22e	G22	Sichuan	D
G23a	G23	Sichuan	U
G23b	G23	Sichuan	U
G23c	G23	Sichuan	U
G23d	G23	Sichuan	U
G23e	G23	Sichuan	U
G24a	G24	Sichuan	U
G24b	G24	Sichuan	U
G24c	G24	Sichuan	U
G24d	G24	Sichuan	U
G24e	G24	Sichuan	U
G25a	G25	Guizhou	U
G25b	G25	Guizhou	U
G25c	G25	Guizhou	U
G25d	G25	Guizhou	U
G25e	G25	Guizhou	U
G26a	G26	Guizhou	U
G26b	G26	Guizhou	U
G26c	G26	Guizhou	U
G26d	G26	Guizhou	U
G26e	G26	Guizhou	U
G27a	G27	Guizhou	U
G27b	G27	Guizhou	U
G27c	G27	Guizhou	U
G27d	G27	Guizhou	U
G27e	G27	Guizhou	U
G28a	G28	Guizhou	U
G28b	G28	Guizhou	U
G28c	G28	Guizhou	U
G28d	G28	Guizhou	U
G28e	G28	Guizhou	U
G29a	G29	Yunnan	U
G29b	G29	Yunnan	U
G29c	G29	Yunnan	U
G29d	G29	Yunnan	U
G29e	G29	Yunnan	U
G2a	G2	Yunnan	U
G2b	G2	Yunnan	U
G2c	G2	Yunnan	U
G2d	G2	Yunnan	U
G2e	G2	Yunnan	U
G30a	G30	Yunnan	U
G30b	G30	Yunnan	U
G30c	G30	Yunnan	U
G30d	G30	Yunnan	U
G30e	G30	Yunnan	U
G339a	G339	Sichuan	D
G339b	G339	Sichuan	D
G339c	G339	Sichuan	D
G339d	G339	Sichuan	D
G339e	G339	Sichuan	D
G340a	G340	Sichuan	U
G340b	G340	Sichuan	U
G340c	G340	Sichuan	U
G340d	G340	Sichuan	U
G340e	G340	Sichuan	U
G341a	G341	Sichuan	U
G341b	G341	Sichuan	U
G341c	G341	Sichuan	U
G341d	G341	Sichuan	U
G341e	G341	Sichuan	U
G356a	G356	Sichuan	D
G356b	G356	Sichuan	D
G356c	G356	Sichuan	D
G356d	G356	Sichuan	D
G356e	G356	Sichuan	D
G357a	G357	Sichuan	D
G357b	G357	Sichuan	D
G357c	G357	Sichuan	D
G357d	G357	Sichuan	D
G357e	G357	Sichuan	D
G358a	G358	Sichuan	D
G358b	G358	Sichuan	D
G358c	G358	Sichuan	D
G358d	G358	Sichuan	D
G358e	G358	Sichuan	D
G360a	G360	Sichuan	D
G360b	G360	Sichuan	D
G360c	G360	Sichuan	D
G360d	G360	Sichuan	D
G360e	G360	Sichuan	D
G361a	G361	Sichuan	D
G361b	G361	Sichuan	D
G361c	G361	Sichuan	D
G361d	G361	Sichuan	D
G361e	G361	Sichuan	D
G36a	G36	Yunnan	U
G36b	G36	Yunnan	U
G36c	G36	Yunnan	U
G36d	G36	Yunnan	U
G36e	G36	Yunnan	U
G37a	G37	Yunnan	U
G37b	G37	Yunnan	U
G37c	G37	Yunnan	U
G37d	G37	Yunnan	U
G37e	G37	Yunnan	U
G38a	G38	Yunnan	U
G38b	G38	Yunnan	U
G38c	G38	Yunnan	U
G38d	G38	Yunnan	U
G38e	G38	Yunnan	U
G39a	G39	Yunnan	U
G39b	G39	Yunnan	U
G39c	G39	Yunnan	U
G39d	G39	Yunnan	U
G39e	G39	Yunnan	U
G3a	G3	Yunnan	U
G3b	G3	Yunnan	U
G3c	G3	Yunnan	U
G3d	G3	Yunnan	U
G3e	G3	Yunnan	U
G40a	G40	Yunnan	U
G40b	G40	Yunnan	U
G40c	G40	Yunnan	U
G40d	G40	Yunnan	U
G40e	G40	Yunnan	U
G41a	G41	Yunnan	U
G41b	G41	Yunnan	U
G41c	G41	Yunnan	U
G41d	G41	Yunnan	U
G41e	G41	Yunnan	U
G42a	G42	Yunnan	U
G42b	G42	Yunnan	U
G42c	G42	Yunnan	U
G42d	G42	Yunnan	U
G42e	G42	Yunnan	U
G43a	G43	Yunnan	U
G43b	G43	Yunnan	U
G43c	G43	Yunnan	U
G43d	G43	Yunnan	U
G43e	G43	Yunnan	U
G44a	G44	Yunnan	U
G44b	G44	Yunnan	U
G44c	G44	Yunnan	U
G44d	G44	Yunnan	U
G44e	G44	Yunnan	U
G45a	G45	Sichuan	U
G45b	G45	Sichuan	U
G45c	G45	Sichuan	U
G45d	G45	Sichuan	U
G45e	G45	Sichuan	U
G47a	G47	Guizhou	U
G47b	G47	Guizhou	U
G47c	G47	Guizhou	U
G47d	G47	Guizhou	U
G47e	G47	Guizhou	U
G48a	G48	Guizhou	D
G48b	G48	Guizhou	D
G48c	G48	Guizhou	D
G48d	G48	Guizhou	D
G48e	G48	Guizhou	D
G49a	G49	Guizhou	U
G49b	G49	Guizhou	U
G49c	G49	Guizhou	U
G49d	G49	Guizhou	U
G49e	G49	Guizhou	U
G4a	G4	Yunnan	U
G4b	G4	Yunnan	U
G4c	G4	Yunnan	U
G4d	G4	Yunnan	U
G4e	G4	Yunnan	U
G50a	G50	Guizhou	U
G50b	G50	Guizhou	U
G50c	G50	Guizhou	U
G50d	G50	Guizhou	U
G50e	G50	Guizhou	U
G51a	G51	Guizhou	U
G51b	G51	Guizhou	U
G51c	G51	Guizhou	U
G51d	G51	Guizhou	U
G51e	G51	Guizhou	U
G52a	G52	Guizhou	U
G52b	G52	Guizhou	U
G52c	G52	Guizhou	U
G52d	G52	Guizhou	U
G52e	G52	Guizhou	U
G53a	G53	Guizhou	U
G53b	G53	Guizhou	U
G53c	G53	Guizhou	U
G53d	G53	Guizhou	U
G53e	G53	Guizhou	U
G54a	G54	Guizhou	U
G54b	G54	Guizhou	U
G54c	G54	Guizhou	U
G54d	G54	Guizhou	U
G54e	G54	Guizhou	U
G55a	G55	Guizhou	D
G55b	G55	Guizhou	D
G55c	G55	Guizhou	D
G55d	G55	Guizhou	D
G55e	G55	Guizhou	D
G56a	G56	Guizhou	D
G56b	G56	Guizhou	D
G56c	G56	Guizhou	D
G56d	G56	Guizhou	D
G56e	G56	Guizhou	D
G57a	G57	Guizhou	U
G57b	G57	Guizhou	U
G57c	G57	Guizhou	U
G57d	G57	Guizhou	U
G57e	G57	Guizhou	U
G58a	G58	Guizhou	D
G58b	G58	Guizhou	D
G58c	G58	Guizhou	D
G58d	G58	Guizhou	D
G58e	G58	Guizhou	D
G59a	G59	Guizhou	D
G59b	G59	Guizhou	D
G59c	G59	Guizhou	D
G59d	G59	Guizhou	D
G59e	G59	Guizhou	D
G5a	G5	Yunnan	U
G5b	G5	Yunnan	U
G5c	G5	Yunnan	U
G5d	G5	Yunnan	U
G5e	G5	Yunnan	U
G60a	G60	Guizhou	D
G60b	G60	Guizhou	D
G60c	G60	Guizhou	D
G60d	G60	Guizhou	D
G60e	G60	Guizhou	D
G61a	G61	Guizhou	D
G61b	G61	Guizhou	D
G61c	G61	Guizhou	D
G61d	G61	Guizhou	D
G61e	G61	Guizhou	D
G62a	G62	Guizhou	D
G62b	G62	Guizhou	D
G62c	G62	Guizhou	D
G62d	G62	Guizhou	D
G62e	G62	Guizhou	D
G63a	G63	Guizhou	D
G63b	G63	Guizhou	D
G63c	G63	Guizhou	D
G63d	G63	Guizhou	D
G63e	G63	Guizhou	D
G64a	G64	Guizhou	U
G64b	G64	Guizhou	U
G64c	G64	Guizhou	U
G64d	G64	Guizhou	U
G64e	G64	Guizhou	U
G65a	G65	Guizhou	D
G65b	G65	Guizhou	D
G65c	G65	Guizhou	D
G65d	G65	Guizhou	D
G65e	G65	Guizhou	D
G66a	G66	Guizhou	D
G66b	G66	Guizhou	D
G66c	G66	Guizhou	D
G66d	G66	Guizhou	D
G66e	G66	Guizhou	D
G67a	G67	Guizhou	D
G67b	G67	Guizhou	D
G67c	G67	Guizhou	D
G67d	G67	Guizhou	D
G67e	G67	Guizhou	D
G68a	G68	Guizhou	D
G68b	G68	Guizhou	D
G68c	G68	Guizhou	D
G68d	G68	Guizhou	D
G68e	G68	Guizhou	D
G69a	G69	Guizhou	D
G69b	G69	Guizhou	D
G69c	G69	Guizhou	D
G69d	G69	Guizhou	D
G69e	G69	Guizhou	D
G6a	G6	Yunnan	U
G6b	G6	Yunnan	U
G6c	G6	Yunnan	U
G6d	G6	Yunnan	U
G6e	G6	Yunnan	U
G70a	G70	Guizhou	U
G70b	G70	Guizhou	U
G70c	G70	Guizhou	U
G70d	G70	Guizhou	U
G70e	G70	Guizhou	U
G71a	G71	Guizhou	D
G71b	G71	Guizhou	D
G71c	G71	Guizhou	D
G71d	G71	Guizhou	D
G71e	G71	Guizhou	D
G72a	G72	Guizhou	D
G72b	G72	Guizhou	D
G72c	G72	Guizhou	D
G72d	G72	Guizhou	D
G72e	G72	Guizhou	D
G73a	G73	Guizhou	D
G73b	G73	Guizhou	D
G73c	G73	Guizhou	D
G73d	G73	Guizhou	D
G73e	G73	Guizhou	D
G76a	G76	Guizhou	D
G76b	G76	Guizhou	D
G76c	G76	Guizhou	D
G76d	G76	Guizhou	D
G76e	G76	Guizhou	D
G77a	G77	Guizhou	D
G77b	G77	Guizhou	D
G77c	G77	Guizhou	D
G77d	G77	Guizhou	D
G77e	G77	Guizhou	D
G78a	G78	Guizhou	D
G78b	G78	Guizhou	D
G78c	G78	Guizhou	D
G78d	G78	Guizhou	D
